id,source,name,category,price,url
fd282a9d-ff95-9331-d4ff-524f2918d0bf,shopbeta,Avon True Color 8-in-1 Eyeshadow Palette (Paradise Green),Beauty & Health,0,https://shopbeta.com.gh/product/avon-true-color-8-in-1-eyeshadow-palette-paradise-green/
fd42e069-b52f-5fcb-a5e4-7235e8c656c0,shopbeta,Milwaukee Sub Compact Impact Wrench 1/2 Inch 2Battery 2 Ah – BIW12-202C,Others,4798,https://shopbeta.com.gh/product/milwaukee-sub-compact-impact-wrench-1-2-inch-2battery-2-ah-biw12-202c/
fd5e3193-244b-1309-2b6b-4668c67b20c6,shopbeta,AFFORDABLE LG SUHD 75UH855V,Electronics,46999,https://shopbeta.com.gh/product/lg-suhd-75uh855v/
fd6059c1-2348-cbfc-0ba4-05beb91b2262,shopbeta,Age Restore Firming Body Lotion – 400ml,Beauty & Health,125.58,https://shopbeta.com.gh/product/age-restore-firming-body-lotion-400ml/
fda0fcfb-b655-051a-2501-b43be472abbe,shopbeta,Jam Headphones,Electronics,550,https://shopbeta.com.gh/product/jam-headphones/
fdd28dd2-3902-e826-d3fd-9c35ef799a6b,shopbeta,Quality LG GX 65 inch with Gallery Design 4K Smart OLED TV,Electronics,31399,https://shopbeta.com.gh/product/lg-gx-65-inch-with-gallery-design-4k-tv/
fddc55a9-e164-2897-025a-8625429b568c,shopbeta,SHOP LG 43 INCH 43LJ500T FULL HD Digital LED TV,Electronics,3878.64,https://shopbeta.com.gh/product/lg-43-43lj500t-full-hd-digital-led-tv/
fde69e41-42c4-2b64-6bd4-a0c30b448689,shopbeta,Avon Attraction Rush For Her EDP (50ml),Beauty & Health,456.75,https://shopbeta.com.gh/product/avon-attraction-rush-for-her-edp-50ml/
fe3c037f-f76e-5b88-c714-19a9a77a73f1,shopbeta,African Wax Print Long  Sleeves Dress (LWP3XDS002-005E),Fashion,250,https://shopbeta.com.gh/product/african-wax-print-long-sleeves-dress/
fe648e38-90c9-7ec9-9148-93e0d389674c,shopbeta,Avon TTA tomorrow him Perfume 75ml,Beauty & Health,446.68,https://shopbeta.com.gh/product/avon-tta-tomorrow-him-perfume-75ml/
fe87a02d-b9ec-9f65-e6b8-e5d2ce6851cf,shopbeta,Nurturing Glycerine Hand Cream – 75ml,Beauty & Health,0,https://shopbeta.com.gh/product/nurturing-glycerine-hand-cream-75ml/
fea51b03-75fe-c67f-89df-31426acc4966,shopbeta,Closed Wound Suction Unit,Others,0,https://shopbeta.com.gh/product/closed-wound-suction-unit/
fec3f6a2-32c1-0305-dafb-12cfd44f8124,shopbeta,Avon Elite Gentleman Untailored Eau De Toilette – 75ml,Beauty & Health,361.04,https://shopbeta.com.gh/product/avon-elite-gentleman-untailored-eau-de/
fed94fdf-cedc-567d-75dd-bf4adc22053d,shopbeta,Original ProstatRelax Capsules,Beauty & Health,836,https://shopbeta.com.gh/product/original-prostatrelax-capsules/
fef8e3a5-a9c5-be84-51b4-75bfc5e3b802,shopbeta,Solar Tool Kit Bag Solar Tool Set Crimping Tool with Cable Stripper Cable Cutter Solar Connector Spanner 2.5/4/6mm2 PV,Others,848.3,https://shopbeta.com.gh/product/solar-tool-kit-bag-solar-tool-set-crimping-tool-with-cable-stripper-cable-cutter-solar-connector-spanner-2-5-4-6mm2-pv-2/
